Number_of_children_ever_born,Wifes_age,Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working,Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
3,29,2,4,1,1,3,3,0,3
1,19,4,4,1,1,1,3,0,3
2,34,2,3,1,1,2,3,0,3
3,26,2,4,1,1,3,4,0,3
1,22,4,4,1,1,2,3,0,3
7,42,4,4,1,1,2,4,0,3
2,27,3,4,1,1,3,2,0,3
2,27,4,4,1,1,1,4,0,3
1,39,4,3,1,0,2,2,0,3
1,21,4,4,1,1,3,1,0,3
7,36,2,3,1,1,3,3,0,3
5,29,1,2,1,0,1,2,0,3
4,29,2,3,1,1,2,1,0,3
2,22,3,2,1,1,2,1,0,3
1,20,2,3,1,1,2,1,0,3
4,33,3,4,1,0,2,4,0,3
3,27,3,3,1,1,2,3,0,3
3,25,4,4,1,1,1,4,0,3
2,25,4,3,1,1,3,3,0,3
4,32,2,3,1,1,3,2,0,3
2,39,3,4,1,1,1,3,0,3
3,31,3,3,1,1,2,1,1,3
4,26,4,4,1,1,3,4,0,3
7,30,3,3,1,1,3,4,0,3
5,43,3,3,1,0,3,3,0,3
4,34,2,4,1,1,3,3,0,3
3,43,4,4,1,1,1,4,0,3
3,32,4,4,0,1,1,4,0,3
5,41,4,4,1,1,1,4,0,3
3,32,4,4,0,1,1,4,0,3
4,46,4,4,1,1,1,4,0,3
3,40,3,4,1,0,1,4,0,3
1,21,4,4,1,1,2,3,0,3
3,32,4,4,1,1,1,4,0,3
1,25,4,4,0,1,3,3,0,3
1,24,4,4,1,1,1,3,0,3
1,21,2,3,1,0,3,2,0,3
1,22,4,4,1,1,3,3,0,3
4,32,4,4,1,1,1,3,0,3
2,30,4,4,1,0,2,2,0,3
2,25,1,2,1,1,2,1,0,3
6,31,3,3,0,1,3,1,0,3
1,19,2,4,1,1,2,3,0,3
7,33,2,2,1,0,2,3,0,3
2,24,2,2,1,1,3,4,0,3
3,19,3,3,1,1,2,3,0,3
5,27,2,2,1,1,3,3,0,3
2,32,4,4,0,0,1,4,0,3
2,32,4,4,1,0,1,3,0,3
5,29,1,3,1,1,3,3,0,3
1,23,3,4,1,1,2,3,0,3
7,34,2,4,1,1,2,3,0,3
1,27,2,4,1,1,3,3,0,3
4,37,4,4,1,1,3,2,0,3
4,26,3,4,1,1,2,3,0,3
7,31,2,3,1,1,3,3,0,3
11,44,4,4,1,1,1,4,0,3
4,35,3,4,1,1,1,4,0,3
2,23,4,4,1,1,3,4,0,3
2,24,2,4,1,1,1,4,0,3
2,24,4,4,1,1,1,4,0,3
3,39,4,4,1,1,2,4,0,3
4,33,3,4,1,1,3,3,0,3
2,24,2,3,1,1,2,1,0,3
4,35,4,4,1,1,1,4,0,3
6,35,4,4,1,1,1,4,0,3
2,34,4,4,1,1,3,3,0,3
3,48,3,4,1,1,2,3,0,3
1,28,4,4,1,1,1,3,0,3
1,26,4,4,1,1,3,3,0,3
8,43,3,3,1,1,1,3,0,3
5,28,2,2,1,0,2,4,0,3
3,22,3,4,1,1,2,3,0,3
3,26,3,3,1,1,3,3,0,3
4,30,3,4,1,1,3,3,0,3
5,38,4,4,1,1,2,3,0,3
8,44,4,4,1,1,2,4,0,3
1,25,4,4,0,1,1,4,0,3
3,34,4,4,1,1,1,4,0,3
3,26,4,4,1,1,3,4,0,3
2,20,4,4,1,1,1,3,0,3
2,39,4,4,0,1,1,3,0,3
4,27,3,4,1,1,3,3,0,3
2,32,4,4,1,0,3,4,0,3
8,48,3,4,1,0,1,4,0,3
4,39,4,3,1,1,3,4,0,3
3,37,4,4,1,0,1,4,0,3
2,33,4,4,0,0,1,3,0,3
3,32,4,4,1,0,1,4,0,3
2,25,4,4,1,1,1,3,0,3
3,37,4,4,1,1,2,4,0,3
4,40,4,4,1,1,1,4,0,3
6,38,4,4,1,1,2,4,0,3
4,36,4,4,1,1,1,4,0,3
3,27,3,3,1,1,2,2,0,3
2,22,1,3,1,1,3,1,0,3
2,22,2,2,1,1,2,3,0,3
3,30,3,4,1,1,2,3,0,3
2,20,2,2,1,1,3,2,1,3
2,34,4,4,1,1,1,4,0,3
5,31,3,4,1,1,3,1,0,3
3,30,3,3,1,0,3,2,0,3
5,44,3,4,1,0,1,4,0,3
3,24,3,3,1,0,2,1,0,3
2,19,4,4,1,1,1,4,0,3
5,28,4,4,1,1,2,4,0,3
1,27,4,4,0,0,1,3,0,3
3,29,3,3,1,1,2,1,0,3
3,37,4,4,1,1,2,4,0,3
8,32,2,2,1,1,2,1,0,3
1,21,2,2,1,1,4,3,0,3
7,33,2,3,1,0,3,1,0,3
2,23,2,3,1,1,3,1,0,3
5,36,2,2,1,1,3,4,0,3
3,33,2,4,1,1,3,4,0,3
2,35,4,4,1,0,1,4,0,3
4,25,2,3,1,1,3,3,0,3
4,29,2,4,1,0,2,4,0,3
1,23,3,3,1,1,2,2,0,3
1,19,3,3,1,1,2,1,0,3
6,35,1,2,1,1,2,2,1,3
3,25,3,3,1,1,3,2,0,3
6,40,3,4,1,1,1,3,0,3
1,17,3,4,1,1,2,1,0,3
3,25,2,4,1,1,3,3,0,3
1,24,3,3,1,1,3,2,0,3
1,23,4,4,1,1,3,3,0,3
3,25,2,4,1,1,3,2,0,3
4,30,1,3,1,1,3,4,0,3
3,31,1,1,1,1,4,2,1,3
2,26,3,4,1,1,3,3,0,3
2,28,3,4,1,1,2,3,0,3
3,30,3,3,1,1,3,1,0,3
5,29,3,4,1,1,1,2,0,3
4,24,1,3,1,1,3,3,0,3
2,26,3,4,1,1,1,3,0,3
3,25,3,3,1,1,3,3,0,3
3,35,4,4,1,1,1,4,0,3
1,22,4,4,1,0,2,4,0,3
1,19,4,4,1,1,2,4,0,3
5,29,2,3,1,1,2,4,0,3
2,21,3,4,1,1,3,3,0,3
1,21,3,3,1,1,3,3,0,3
9,41,1,4,1,1,2,1,0,3
3,37,2,4,1,1,2,3,0,3
3,27,4,4,1,1,3,4,1,3
2,26,2,3,1,1,2,3,0,3
6,37,4,4,1,0,3,4,0,3
3,25,3,3,1,1,2,1,0,3
3,32,4,3,1,1,2,4,0,3
4,34,1,4,1,1,3,4,1,3
2,23,4,4,1,0,2,4,0,3
2,28,3,4,1,1,3,4,0,3
1,24,3,4,1,1,3,4,0,3
4,32,2,3,1,0,2,2,0,3
3,22,1,2,1,1,3,1,1,3
1,25,3,3,1,1,2,1,0,3
2,25,2,3,1,1,2,4,0,3
3,38,2,3,1,1,2,4,0,3
2,33,2,2,1,1,3,4,0,3
8,41,4,4,1,1,1,4,0,3
4,29,3,3,1,1,3,4,0,3
1,22,3,4,1,0,1,4,0,3
6,29,3,3,1,1,3,3,0,3
3,26,3,4,1,1,3,3,0,3
3,28,2,3,1,1,3,4,0,3
1,27,4,4,0,1,3,4,0,3
2,29,2,4,1,1,3,2,0,3
2,24,3,4,1,1,3,3,0,3
3,29,3,4,1,1,3,2,0,3
7,38,3,4,1,1,3,2,0,3
2,23,3,2,1,0,3,2,0,3
1,20,4,3,1,1,3,4,0,3
4,32,1,4,1,1,3,2,0,3
2,25,2,3,1,1,3,1,0,3
3,26,1,2,1,0,3,2,0,3
3,23,1,2,1,1,3,2,1,3
3,23,4,4,1,1,3,3,0,3
5,28,3,4,1,1,2,4,0,3
3,22,4,4,1,1,3,2,0,3
4,28,2,4,1,1,3,4,0,3
3,26,3,3,1,1,3,3,0,3
2,26,2,3,1,1,3,3,0,3
3,24,4,3,1,1,3,3,0,3
3,29,4,4,1,0,1,4,0,3
4,29,3,4,1,0,1,3,0,3
5,42,4,4,1,1,1,4,0,3
2,27,4,4,1,1,3,4,0,3
5,35,3,4,1,1,1,4,0,3
1,21,3,4,1,1,3,2,0,3
1,21,1,3,1,1,3,3,1,3
1,22,3,4,1,1,3,3,0,3
4,28,3,3,1,1,3,3,0,3
1,22,3,4,0,0,1,4,0,3
1,23,3,2,1,1,3,3,0,3
2,28,3,3,0,1,2,3,0,3
3,30,4,4,0,0,2,4,0,3
3,25,3,4,1,0,3,4,0,3
4,33,4,4,1,1,2,3,0,3
6,33,3,4,1,1,3,2,0,3
2,30,4,4,0,0,3,3,0,3
1,22,2,4,1,1,3,3,0,3
2,38,3,3,0,1,3,4,0,3
2,35,4,3,0,1,3,4,0,3
4,34,2,2,0,1,3,2,0,3
2,39,4,4,0,1,3,4,0,3
4,47,4,3,1,1,1,3,0,3
2,38,4,4,1,0,1,4,0,3
5,43,4,4,1,1,1,4,0,3
1,21,3,3,1,1,2,2,0,3
2,30,3,4,1,1,1,2,0,3
2,27,3,4,1,1,1,3,0,3
1,22,4,4,0,1,3,1,0,3
3,25,1,2,1,1,2,3,0,3
2,22,1,3,1,1,3,2,0,3
4,28,4,4,1,1,2,3,0,3
2,25,3,3,1,1,2,3,0,3
2,26,4,4,1,0,3,3,0,3
3,31,3,3,1,1,3,1,1,3
4,32,1,3,1,1,3,3,0,3
6,35,2,4,1,1,3,4,0,3
5,24,2,3,1,1,3,3,0,3
2,28,4,4,1,1,1,4,0,3
3,36,4,4,0,0,2,4,0,3
5,47,4,4,1,1,1,3,0,3
2,26,4,4,1,0,1,4,0,3
2,22,3,4,0,1,3,4,0,3
2,30,4,4,1,1,4,3,0,3
5,41,4,4,1,1,1,4,0,3
1,19,4,4,1,1,3,2,0,3
2,45,3,4,0,1,3,3,0,3
5,35,1,2,1,1,2,2,1,3
1,21,2,2,1,1,3,2,0,3
6,32,1,2,0,1,2,3,0,3
5,32,3,4,0,1,3,4,0,3
6,46,2,3,0,0,3,4,0,3
6,41,1,2,1,1,3,3,0,3
3,36,4,4,0,1,3,4,0,3
3,37,3,4,0,1,3,4,0,3
4,37,3,4,0,1,2,4,0,3
3,35,4,4,0,1,3,4,0,3
4,29,2,3,1,1,3,2,0,3
2,28,4,4,0,1,2,4,0,3
4,46,4,4,0,1,1,4,0,3
3,34,4,3,0,1,2,4,0,3
2,43,3,3,0,0,3,4,0,3
3,28,4,4,0,0,3,4,0,3
3,28,3,3,1,0,2,4,0,3
6,34,4,4,1,1,2,2,0,3
4,27,2,4,1,1,3,4,0,3
6,36,1,3,1,1,3,2,0,3
0,17,2,2,1,0,3,2,0,3
1,21,3,3,1,1,3,2,0,3
1,25,2,2,1,1,3,1,0,3
2,23,2,3,1,0,3,2,0,3
1,25,2,2,1,1,3,3,0,3
4,35,1,2,1,0,4,4,0,3
4,32,3,4,1,1,3,2,0,3
5,37,2,3,1,1,4,2,0,3
4,31,3,4,1,0,3,3,0,3
3,25,3,4,1,1,3,4,0,3
4,26,3,4,1,1,2,4,0,3
2,39,1,2,1,0,2,4,0,3
2,21,3,3,1,1,2,3,0,3
9,35,3,2,1,0,3,4,0,3
1,20,2,2,1,1,3,2,0,3
5,40,2,3,1,1,3,3,0,3
7,41,3,3,0,1,2,4,0,3
8,36,2,4,1,1,1,4,0,3
3,40,2,4,0,1,3,4,0,3
3,32,4,4,1,0,1,4,0,3
4,24,3,4,1,1,2,3,0,3
1,20,3,4,0,1,2,4,0,3
4,32,4,4,1,0,1,4,0,3
3,22,2,2,1,0,3,3,0,3
4,30,3,3,1,0,2,2,0,3
3,31,4,4,1,0,1,4,0,3
5,35,3,4,1,1,1,4,0,3
2,38,4,4,1,1,3,4,0,3
1,31,4,4,1,1,1,4,0,3
2,25,4,4,1,1,2,4,0,3
2,30,4,4,1,1,1,4,0,3
2,22,1,2,1,1,3,4,0,3
3,31,4,4,1,1,1,4,0,3
3,29,4,4,1,1,3,4,0,3
3,29,2,3,1,0,3,2,0,3
3,38,4,4,0,0,3,3,1,3
2,22,3,4,1,1,2,4,0,3
3,45,4,4,1,1,1,4,0,3
3,26,3,4,1,1,3,2,0,3
3,37,4,4,0,1,3,4,0,3
3,36,4,4,0,1,2,4,0,3
2,33,4,4,1,1,2,4,0,3
3,32,4,4,1,0,1,4,0,3
4,35,4,4,0,0,1,4,0,3
1,25,4,4,1,1,1,4,0,3
3,31,4,4,1,1,4,4,0,3
5,25,2,3,1,1,2,3,0,3
5,26,3,2,1,1,2,2,0,3
3,23,2,3,1,1,2,3,0,3
3,28,3,4,1,1,1,4,0,3
3,34,3,4,0,0,3,4,0,3
9,46,3,4,1,1,3,4,0,3
1,25,4,4,1,1,1,4,0,3
3,21,2,1,1,0,3,1,1,3
4,25,2,3,1,0,3,2,0,3
6,28,2,3,1,1,2,4,0,3
11,36,2,4,1,1,1,4,1,3
9,46,1,2,1,0,3,4,1,3
6,35,2,2,1,0,3,1,1,1
11,41,3,2,1,1,2,3,0,1
1,27,2,4,1,0,1,1,0,1
0,25,4,4,1,0,3,4,0,1
2,23,2,2,1,1,3,3,0,1
1,48,1,1,1,0,3,3,1,1
0,23,4,4,1,0,1,4,0,1
2,31,3,4,1,1,3,3,0,1
1,49,4,4,1,1,3,4,0,1
2,42,2,3,1,1,1,4,0,1
3,26,2,4,1,1,3,4,0,1
1,21,2,2,1,1,3,2,0,1
4,29,3,4,1,1,1,4,0,1
12,38,1,2,1,1,2,3,0,1
2,25,4,4,1,1,3,2,0,1
0,22,4,4,1,1,3,2,0,1
0,20,3,4,1,1,3,3,0,1
1,35,4,4,1,1,1,3,0,1
1,32,2,3,1,1,3,3,0,1
3,38,2,4,1,1,1,3,0,1
4,27,1,2,1,1,1,4,1,1
1,41,2,4,1,1,2,3,0,1
0,28,3,4,1,0,1,3,0,1
1,23,4,4,1,0,3,3,0,1
1,27,4,4,0,0,2,4,0,1
2,33,4,4,0,1,1,4,0,1
5,39,2,2,1,0,3,2,1,1
5,41,2,2,0,1,2,2,0,1
8,40,2,2,1,1,1,3,0,1
10,43,3,4,1,1,3,3,0,1
6,35,3,4,1,0,2,2,0,1
0,32,3,4,1,1,3,4,0,1
4,49,2,3,1,1,2,3,0,1
4,47,2,2,1,1,3,1,0,1
1,42,4,4,1,1,2,4,0,1
4,48,4,4,0,1,1,4,0,1
3,42,4,4,1,1,1,4,0,1
2,37,4,4,1,1,1,4,0,1
1,23,3,3,1,0,2,4,0,1
0,24,3,4,1,0,2,3,0,1
3,43,2,3,0,1,2,3,0,1
2,24,3,3,1,0,3,2,0,1
0,29,2,4,1,0,3,4,0,1
0,45,1,1,0,0,2,1,0,1
3,31,4,4,1,0,2,3,0,1
9,44,1,4,1,1,1,2,0,1
1,28,2,3,1,1,3,1,0,1
1,28,3,4,0,1,2,2,0,1
0,33,1,2,1,0,3,3,0,1
6,43,4,4,1,1,1,3,0,1
4,34,3,4,1,1,1,3,0,1
2,36,1,4,1,1,2,2,0,1
0,22,4,4,1,0,2,4,0,1
8,35,2,3,1,1,3,3,1,1
1,25,4,4,1,1,1,4,0,1
8,43,1,2,1,1,2,2,1,1
8,46,1,4,1,1,1,4,1,1
2,27,3,4,1,1,1,3,0,1
7,30,1,1,1,1,2,3,0,1
1,25,4,4,1,1,3,4,0,1
1,42,4,4,1,0,1,4,0,1
1,30,1,3,1,1,3,4,0,1
4,27,3,3,1,1,2,4,0,1
11,45,2,3,1,1,2,3,0,1
2,29,3,4,1,1,1,3,0,1
1,36,1,4,1,1,3,3,0,1
8,49,1,2,1,1,3,1,1,1
7,47,1,4,1,1,2,3,0,1
4,30,4,4,1,1,2,4,0,1
2,24,2,3,1,1,3,1,0,1
6,48,1,1,1,1,2,3,1,1
2,47,1,2,1,1,2,3,1,1
1,24,3,4,1,0,3,3,0,1
5,48,3,4,1,1,2,3,0,1
8,38,1,2,1,1,3,3,1,1
0,45,3,4,1,1,1,3,0,1
3,43,4,4,0,1,2,4,0,1
5,33,1,1,1,1,3,1,1,1
7,37,3,4,1,1,3,4,0,1
6,36,2,1,1,1,2,3,0,1
3,25,3,4,1,1,1,1,0,1
6,49,4,4,0,0,1,4,0,1
1,30,4,4,1,0,1,4,0,1
5,35,4,4,1,1,1,4,0,1
0,28,2,4,1,1,3,1,0,1
0,30,4,2,1,0,3,3,0,1
2,27,4,4,1,0,1,4,0,1
8,45,2,4,1,1,2,3,0,1
5,46,3,1,1,1,3,2,0,1
0,28,1,4,1,0,4,1,0,1
0,21,2,4,1,1,2,2,0,1
2,20,3,4,1,1,3,3,0,1
5,28,3,3,1,1,3,3,0,1
1,25,3,3,1,1,2,2,0,1
6,38,1,2,1,1,2,1,1,1
1,20,3,4,1,1,3,2,0,1
2,24,3,4,1,1,2,4,0,1
1,39,3,1,1,1,2,3,0,1
1,25,1,3,1,1,4,2,0,1
4,23,3,4,1,1,3,1,1,1
1,24,4,4,1,0,1,3,0,1
3,26,4,4,1,1,1,4,0,1
2,20,3,4,1,1,3,2,0,1
1,31,3,3,1,0,3,4,0,1
0,22,4,4,1,1,2,1,1,1
6,36,2,3,1,1,2,3,0,1
0,45,3,4,1,1,1,3,0,1
7,47,2,2,1,1,2,2,0,1
1,30,2,3,1,1,2,1,0,1
3,35,4,4,1,1,1,4,0,1
9,34,2,2,1,0,2,3,0,1
1,28,4,4,1,0,1,3,0,1
1,18,3,4,1,1,3,3,0,1
2,25,2,3,1,1,3,2,0,1
0,27,3,4,1,0,3,3,0,1
1,21,4,4,1,1,3,4,0,1
1,19,4,4,1,1,1,3,0,1
0,26,4,4,1,1,3,4,0,1
5,28,4,4,1,1,1,4,0,1
4,38,1,3,1,0,2,2,0,1
10,39,2,3,1,1,3,4,0,1
6,45,2,3,1,1,3,2,1,1
4,30,3,4,0,1,2,3,0,1
2,47,2,4,1,1,3,2,1,1
6,38,2,2,1,1,3,4,0,1
5,42,3,3,1,1,2,2,0,1
2,31,4,4,1,1,1,2,0,1
2,44,1,2,1,1,3,1,0,1
3,42,4,4,1,0,1,4,0,1
2,28,4,4,1,1,1,3,0,1
6,34,2,4,1,0,3,4,0,1
7,45,1,3,1,0,1,3,0,1
5,43,4,4,1,1,1,3,0,1
0,28,3,4,1,0,3,4,0,1
0,27,3,4,1,1,3,3,0,1
1,26,2,3,1,0,4,4,0,1
1,26,3,4,0,1,2,2,0,1
4,37,3,4,1,0,2,4,0,1
11,48,3,4,1,1,1,4,0,1
12,47,2,3,1,1,3,1,0,1
1,22,2,4,1,1,3,4,0,1
1,48,4,4,0,1,1,4,0,1
12,42,1,3,1,1,2,4,0,1
3,32,4,4,1,1,1,4,0,1
3,33,4,4,0,0,1,3,0,1
1,45,4,4,1,0,1,4,0,1
1,26,2,3,1,0,3,4,1,1
1,45,4,4,1,1,1,4,0,1
1,25,3,3,1,0,2,4,0,1
3,36,4,3,1,0,3,2,0,1
2,31,3,3,1,0,3,3,0,1
2,22,3,4,1,1,3,3,0,1
10,46,4,4,1,1,1,3,0,1
3,26,2,3,1,1,3,4,0,1
1,25,3,2,1,0,3,3,0,1
0,20,4,4,0,0,2,4,0,1
3,31,3,4,0,0,2,4,0,1
3,36,3,3,0,0,2,3,1,1
5,47,3,2,1,1,4,4,0,1
2,43,3,4,0,1,3,4,0,1
0,20,3,4,1,1,3,3,0,1
4,24,4,4,1,1,1,4,0,1
3,33,2,2,0,0,2,4,0,1
3,41,3,4,0,1,2,4,0,1
4,48,3,4,0,1,2,4,0,1
1,32,4,4,0,1,1,4,0,1
4,38,3,3,0,0,3,2,1,1
8,48,3,4,1,1,3,3,0,1
4,34,1,3,1,0,3,4,0,1
6,31,1,1,1,1,3,2,0,1
7,46,1,2,1,1,3,1,1,1
7,45,2,2,1,1,3,1,1,1
4,34,3,4,0,1,3,1,1,1
1,16,2,4,1,1,3,4,0,1
1,18,3,2,1,1,3,1,0,1
1,22,2,2,1,1,3,1,1,1
2,32,2,2,1,1,2,4,0,1
3,41,1,3,1,0,2,4,0,1
2,22,3,3,1,1,2,4,0,1
0,23,3,2,1,1,2,2,0,1
0,22,3,4,1,0,3,4,0,1
6,40,2,2,1,1,2,2,1,1
1,29,3,4,0,1,2,3,0,1
0,42,4,4,0,0,3,4,0,1
2,29,3,4,1,1,3,4,0,1
1,31,3,2,1,1,3,4,0,1
3,28,4,4,0,0,1,4,0,1
0,21,2,3,1,1,3,4,0,1
2,26,4,4,1,1,1,3,0,1
0,37,3,4,1,1,3,4,0,1
2,24,3,4,1,1,2,2,0,1
0,25,4,4,0,1,2,4,0,1
0,22,2,1,1,1,2,2,0,1
1,45,4,4,1,1,1,4,0,1
1,47,4,4,1,1,1,4,0,1
5,28,4,4,1,0,3,4,0,1
4,24,2,2,1,1,3,4,0,1
6,34,3,3,1,1,2,3,0,1
5,47,2,3,1,1,1,1,0,1
2,31,3,4,1,1,1,4,0,1
1,26,1,3,1,1,3,1,0,1
3,25,4,4,1,1,1,2,0,1
4,47,1,1,1,1,2,2,0,1
8,48,1,1,1,1,1,1,1,1
10,38,2,2,1,1,3,2,0,1
4,32,1,3,1,1,2,2,1,1
2,47,1,2,1,1,2,4,0,1
3,27,4,4,1,1,1,4,0,1
0,40,1,1,1,1,3,2,0,1
6,46,4,4,1,1,1,4,0,1
3,33,3,3,1,1,3,4,0,1
5,49,1,2,1,0,2,2,1,1
3,21,2,4,1,1,3,2,0,1
0,31,4,4,0,0,2,4,0,1
4,42,4,4,1,1,3,4,0,2
3,35,4,4,1,1,1,4,0,2
4,31,4,4,1,1,3,3,0,2
6,42,4,4,1,1,1,3,0,2
4,49,3,4,1,1,3,4,0,2
1,21,4,4,1,1,1,3,0,2
3,28,3,4,1,1,1,4,0,2
1,22,4,4,1,1,1,3,0,2
3,36,4,4,1,0,1,4,0,2
9,45,2,2,1,1,3,3,0,2
4,40,4,4,1,1,1,4,0,2
7,30,2,2,1,1,3,4,0,2
5,35,4,4,1,0,1,4,0,2
2,26,2,4,1,1,1,4,0,2
3,45,4,4,1,1,1,4,0,2
2,27,3,3,1,1,3,4,0,2
4,32,4,4,1,1,1,2,0,2
3,27,4,4,1,1,1,3,0,2
2,28,4,4,0,1,1,4,0,2
3,30,4,4,1,1,2,1,0,2
4,34,4,4,1,1,2,4,0,2
3,26,3,4,1,1,2,3,0,2
2,44,1,4,1,1,1,3,0,2
3,29,4,4,1,1,1,4,0,2
2,26,3,4,1,1,3,3,0,2
8,41,4,4,1,1,1,4,0,2
4,32,3,3,1,0,3,3,0,2
1,23,3,1,1,0,3,3,0,2
4,38,2,3,1,1,1,2,0,2
1,22,4,4,1,0,2,2,0,2
3,34,3,4,0,1,1,4,0,2
7,38,3,4,0,1,2,3,0,2
1,21,4,4,1,1,1,4,0,2
4,43,1,3,1,1,1,4,0,2
9,44,3,3,1,1,1,1,0,2
1,24,4,4,1,1,2,4,0,2
1,27,4,4,1,0,3,3,0,2
4,34,3,4,1,1,3,3,0,2
2,29,3,4,1,1,1,4,0,2
1,26,4,4,1,0,2,3,0,2
7,37,4,4,1,1,1,4,0,2
3,21,3,4,1,1,1,4,0,2
4,47,4,4,0,1,2,4,0,2
3,41,4,4,1,0,2,3,0,2
3,29,3,4,1,1,1,3,0,2
1,25,4,4,1,0,1,4,0,2
2,33,4,4,0,0,1,3,0,2
1,23,4,4,0,1,1,4,0,2
4,32,4,4,1,1,2,3,0,2
3,45,4,4,1,1,1,4,0,2
4,37,4,4,1,1,1,4,0,2
4,35,2,4,0,1,3,2,0,2
3,37,4,4,1,1,3,4,0,2
5,35,4,4,1,1,2,4,0,2
1,23,4,4,1,1,3,3,0,2
8,38,2,2,1,1,2,2,0,2
4,41,4,4,0,0,2,4,0,2
9,35,1,2,1,0,3,1,0,2
3,29,4,4,1,1,3,2,0,2
2,26,3,3,1,1,1,3,0,2
2,22,3,3,1,1,3,3,0,2
5,30,2,3,1,1,3,1,1,2
3,36,4,4,1,1,3,3,0,2
3,26,3,4,1,1,1,4,0,2
2,32,4,4,1,0,3,4,0,2
3,39,4,4,0,1,2,4,0,2
3,29,3,4,1,1,1,3,0,2
5,40,4,4,1,1,1,3,0,2
6,43,3,3,1,0,3,2,0,2
6,44,3,4,1,1,3,2,0,2
2,24,4,4,1,1,2,4,0,2
3,42,4,4,1,0,1,4,0,2
2,33,3,4,1,1,1,4,0,2
1,24,4,4,0,1,2,3,0,2
2,28,3,4,0,1,2,3,0,2
5,32,2,1,1,0,2,2,0,2
4,26,2,2,1,1,3,4,0,2
1,27,4,4,1,1,1,4,0,2
3,41,3,4,0,1,2,4,0,2
2,28,3,4,0,1,3,3,0,2
1,23,4,4,1,0,3,4,0,2
4,31,2,2,1,1,4,3,1,2
3,33,4,4,0,1,2,4,0,2
5,35,4,4,1,1,1,4,0,2
5,39,3,4,1,1,3,4,0,2
2,27,4,4,1,1,1,3,0,2
3,48,4,4,0,1,1,4,0,2
2,25,3,1,1,0,3,4,0,2
4,38,4,4,1,1,2,4,0,2
7,48,4,4,1,0,1,4,0,2
4,34,4,4,1,0,3,3,0,2
4,36,3,3,1,1,1,3,0,2
3,34,4,4,1,0,3,4,0,2
4,42,4,4,0,0,2,4,0,2
5,45,3,3,0,1,1,3,0,2
4,37,4,4,0,1,2,4,0,2
3,38,4,4,0,0,2,4,0,2
4,42,3,3,0,1,3,4,0,2
5,42,2,4,0,1,2,3,0,2
6,41,4,4,1,1,1,4,0,2
5,43,4,4,0,1,1,4,0,2
2,34,4,4,0,0,3,2,0,2
1,44,2,3,0,1,2,4,0,2
4,41,4,4,0,1,1,4,0,2
3,36,4,4,1,1,1,4,0,2
5,34,1,2,1,1,3,4,0,2
5,32,3,2,1,1,3,3,0,3
6,34,3,3,1,1,1,4,0,3
2,24,4,4,1,0,3,3,0,3
1,21,3,3,0,1,3,2,0,3
9,38,4,3,1,1,3,3,0,3
3,39,4,4,1,0,1,4,0,3
6,35,2,2,1,0,2,2,1,3
7,30,2,3,1,1,3,3,0,3
1,17,3,4,1,1,3,3,0,3
3,32,2,4,1,1,3,4,0,3
5,43,4,4,0,1,1,4,0,3
4,31,2,2,1,1,3,3,0,3
3,24,1,2,1,1,3,2,0,3
3,26,2,4,1,1,1,3,0,3
4,35,3,4,1,0,1,4,0,3
4,46,3,4,1,0,3,4,0,3
3,29,2,3,1,1,3,3,0,3
1,21,3,4,1,0,3,4,0,3
5,31,4,4,1,0,1,4,0,3
2,24,4,4,1,1,3,3,0,3
3,24,2,4,1,1,3,3,0,3
4,36,4,4,1,1,1,3,0,3
9,37,2,3,1,1,3,3,0,3
6,37,3,3,1,1,3,3,0,3
11,37,3,3,1,1,1,2,0,3
4,44,4,4,0,1,2,3,0,3
6,35,2,3,1,1,2,3,0,3
3,25,4,4,1,1,3,3,0,3
2,21,4,4,1,1,2,3,0,3
3,24,1,2,1,1,3,2,0,3
1,16,2,3,1,1,3,1,0,3
1,21,3,2,1,1,3,1,1,3
2,25,2,4,1,1,2,4,0,3
1,26,4,4,1,0,2,4,0,3
2,43,4,4,1,1,1,4,0,3
1,24,4,4,1,1,1,4,0,3
3,30,3,4,0,1,3,3,0,3
3,30,2,3,1,1,3,3,0,3
2,26,4,4,1,1,3,3,0,3
4,29,2,4,1,1,3,2,0,3
4,24,3,4,1,1,3,1,0,3
2,29,3,3,1,1,3,2,0,3
1,29,1,2,1,1,3,3,0,3
1,22,4,4,1,1,2,4,0,3
4,30,3,3,1,0,3,2,0,3
1,24,4,4,1,1,2,3,0,3
2,25,4,4,1,1,1,2,0,3
5,44,4,4,1,0,1,4,0,3
3,28,2,3,1,1,2,4,0,3
1,22,3,3,1,1,3,2,0,3
6,30,2,2,1,0,2,3,0,3
3,25,3,4,1,1,2,4,0,3
2,25,4,4,1,1,3,3,0,3
2,33,4,4,1,0,1,4,0,3
4,33,3,3,1,0,2,3,0,3
2,26,3,3,1,0,2,2,0,3
5,29,3,4,1,1,3,3,0,3
4,32,3,3,1,1,2,1,0,3
1,30,4,4,1,0,3,2,0,3
1,37,4,4,0,1,1,4,0,3
4,31,1,2,1,1,3,3,0,3
4,36,1,2,1,1,3,1,1,3
7,36,2,2,1,0,2,2,1,3
2,26,3,4,1,0,2,4,0,3
3,36,4,4,1,1,1,4,0,3
1,28,4,4,1,1,2,4,0,3
